Country of residence 2,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Non-resident visitors entering Canada,"1,567,317","1,595,707","760,252","67,654","86,362","121,524","141,772","158,664","147,777","139,916","127,159","154,246","120,921","101,655","123,583","130,634","140,287","162,940","258,469","600,982","671,662","649,352","560,271","761,360","298,217","419,837","614,160","1,001,313","1,428,129","2,188,742","2,814,980","2,515,454","2,029,087","1,755,938","1,268,343","1,589,448","1,107,737","1,200,979","1,382,309","1,674,026","2,377,019","3,354,384","3,998,113","3,605,712","2,857,225","2,138,008","1,520,059","1,993,965","1,189,366","1,459,708","1,682,944","1,886,774","2,687,964","3,643,749","4,260,020","4,007,080","2,882,158","2,252,283","1,734,045","2,132,061","1,414,635","1,391,190","1,587,932","1,824,703","2,595,836","3,571,205","4,250,749","4,037,165","2,876,327","2,363,398"
United States of America residents entering Canada,"1,201,690","1,281,300","610,781","51,042","72,078","101,607","113,414","120,824","112,980","112,513","98,444","113,887","86,456","75,398","95,943","95,634","113,451","128,447","194,799","509,669","518,223","488,616","439,089","550,264","218,558","314,845","465,235","759,600","1,112,682","1,724,681","2,193,729","1,968,894","1,560,470","1,388,757","1,036,655","1,221,069","866,679","945,125","1,094,111","1,300,810","1,831,775","2,652,705","3,130,621","2,834,744","2,174,918","1,628,185","1,219,676","1,524,595","910,621","1,127,588","1,336,056","1,476,081","2,072,414","2,897,819","3,353,349","3,195,854","2,198,468","1,760,987","1,448,685","1,685,491","1,105,027","1,076,683","1,257,520","1,360,708","1,969,363","2,786,594","3,251,100","3,151,192","2,142,122","1,814,406"
Residents of countries other than the United States of America entering Canada,"365,627","314,407","149,471","16,612","14,284","19,917","28,358","37,840","34,797","27,403","28,715","40,359","34,465","26,257","27,640","35,000","26,836","34,493","63,670","91,313","153,439","160,736","121,182","211,096","79,659","104,992","148,925","241,713","315,447","464,061","621,251","546,560","468,617","367,181","231,688","368,379","241,058","255,854","288,198","373,216","545,244","701,679","867,492","770,968","682,307","509,823","300,383","469,370","278,745","332,120","346,888","410,693","615,550","745,930","906,671","811,226","683,690","491,296","285,360","446,570","309,608","314,507","330,412","463,995","626,473","784,611","999,649","885,973","734,205","548,992"
"Americas, countries other than the United States of America","63,362","55,995","31,895","10,019","7,187","8,012","7,323","7,237","4,463","3,599","4,316","6,434","7,637","5,606","8,706","12,826","9,313","9,754","9,842","11,640","20,237","23,891","23,619","46,126","20,054","24,196","36,112","58,636","56,410","80,835","96,836","81,498","70,778","58,893","53,155","88,933","55,245","57,871","74,654","92,600","90,704","116,307","141,603","137,941","115,783","79,856","68,002","125,278","67,502","73,312","79,114","71,999","84,859","109,670","123,899","115,404","91,587","68,478","61,664","97,319","60,640","57,328","68,389","88,195","85,126","116,139","139,696","128,247","88,343","73,653"
"North America, countries other than the United States of America","30,836","27,304","16,864","5,840","3,223","4,029","4,138","3,496","1,990","1,443","1,397","2,035","4,013","2,710","5,117","7,566","4,138","4,045","3,459","4,139","8,106","11,288","12,522","22,485","11,367","13,876","21,364","32,025","28,502","38,753","48,103","40,951","37,310","30,811","28,054","49,637","32,031","34,056","42,446","56,789","49,022","56,882","69,296","74,056","47,360","38,637","33,572","69,804","39,925","44,813","36,592","33,200","33,415","38,466","46,734","47,172","31,326","24,055","22,799","41,743","28,798","27,247","29,990","41,905","31,407","37,453","50,484","52,790","30,593","25,301"
Central America,"2,439","2,212","1,210","1,338","2,130","1,931",563,705,409,358,503,479,548,709,"1,073","1,832","1,908","1,987","1,307","1,145","1,477","1,516","1,171","1,723","1,048","1,358","2,014","3,979","3,217","4,187","3,857","3,063","2,861","2,189","1,955","2,965","2,503","2,343","3,226","5,116","4,851","6,796","6,769","5,102","5,636","4,104","3,412","5,280","3,524","3,215","4,486","6,573","6,923","8,818","6,929","5,885","6,086","4,837","3,544","5,702","4,646","3,415","4,301","8,122","7,449","10,115","9,532","7,598","6,949","5,808"
Caribbean,"10,846","9,746","5,845","2,704","1,693","1,672","2,200","2,452","1,211",831,"1,111","1,656","1,659",691,"1,993","2,834","2,032","2,223","3,071","3,654","4,742","5,170","4,674","9,605","2,905","3,232","5,974","11,338","8,542","13,731","18,565","17,023","12,000","10,356","8,182","16,449","8,378","9,554","11,203","15,742","14,952","20,841","28,585","29,411","18,966","15,218","11,831","23,669","10,537","11,583","15,009","15,679","17,936","24,360","30,534","30,590","19,803","17,125","11,545","21,765","10,899","11,201","12,991","18,841","18,533","27,621","37,038","34,859","20,066","17,938"
South America,"19,241","16,733","7,976",137,141,380,422,584,853,967,"1,305","2,264","1,417","1,496",523,594,"1,235","1,499","2,005","2,702","5,912","5,917","5,252","12,313","4,734","5,730","6,760","11,294","16,149","24,164","26,311","20,461","18,607","15,537","14,964","19,882","12,333","11,918","17,779","14,953","21,879","31,788","36,953","29,372","43,821","21,897","19,187","26,525","13,516","13,701","23,027","16,547","26,585","38,026","39,702","31,757","34,372","22,461","23,776","28,109","16,297","15,465","21,107","19,327","27,737","40,950","42,642","33,000","30,735","24,606"
"Americas, n.o.s. 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,"118,756","144,883","65,199","2,482","2,895","5,090","9,995","12,235","10,592","8,955","9,976","15,722","10,818","5,666","5,580","5,573","7,146","10,132","27,991","42,466","89,601","94,315","58,585","107,938","33,399","51,644","68,762","122,791","164,022","244,653","371,232","344,853","270,625","195,815","98,796","149,573","87,411","116,857","115,955","161,189","219,146","304,422","427,212","408,310","326,475","230,112","110,266","179,063","93,447","129,546","136,201","179,226","249,982","305,660","442,463","434,589","344,615","230,060","110,862","186,781","104,036","133,331","121,861","203,021","252,457","322,402","488,019","468,906","364,501","254,266"
