country,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Non-resident visitors entering Canada,1567317.0,1595707.0,760252.0,67654.0,86362.0,121524.0,141772.0,158664.0,147777.0,139916.0,127159.0,154246.0,120921.0,101655.0,123583.0,130634.0,140287.0,162940.0,258469.0,600982.0,671662.0,649352.0,560271.0,761360.0,298217.0,419837.0,614160.0,1001313.0,1428129.0,2188742.0,2814980.0,2515454.0,2029087.0,1755938.0,1268343.0,1589448.0,1107737.0,1200979.0,1382309.0,1674026.0,2377019.0,3354384.0,3998113.0,3605712.0,2857225.0,2138008.0,1520059.0,1993965.0,1189366.0,1459708.0,1682944.0,1886774.0,2687964.0,3643749.0,4260020.0,4007080.0,2882158.0,2252283.0,1734045.0,2132061.0,1414635.0,1391190.0,1587932.0,1824703.0,2595836.0,3571205.0,4250749.0,4037165.0,2876327.0,2363398.0
United States of America residents entering Canada,1201690.0,1281300.0,610781.0,51042.0,72078.0,101607.0,113414.0,120824.0,112980.0,112513.0,98444.0,113887.0,86456.0,75398.0,95943.0,95634.0,113451.0,128447.0,194799.0,509669.0,518223.0,488616.0,439089.0,550264.0,218558.0,314845.0,465235.0,759600.0,1112682.0,1724681.0,2193729.0,1968894.0,1560470.0,1388757.0,1036655.0,1221069.0,866679.0,945125.0,1094111.0,1300810.0,1831775.0,2652705.0,3130621.0,2834744.0,2174918.0,1628185.0,1219676.0,1524595.0,910621.0,1127588.0,1336056.0,1476081.0,2072414.0,2897819.0,3353349.0,3195854.0,2198468.0,1760987.0,1448685.0,1685491.0,1105027.0,1076683.0,1257520.0,1360708.0,1969363.0,2786594.0,3251100.0,3151192.0,2142122.0,1814406.0
Residents of countries other than the United States of America entering Canada,365627.0,314407.0,149471.0,16612.0,14284.0,19917.0,28358.0,37840.0,34797.0,27403.0,28715.0,40359.0,34465.0,26257.0,27640.0,35000.0,26836.0,34493.0,63670.0,91313.0,153439.0,160736.0,121182.0,211096.0,79659.0,104992.0,148925.0,241713.0,315447.0,464061.0,621251.0,546560.0,468617.0,367181.0,231688.0,368379.0,241058.0,255854.0,288198.0,373216.0,545244.0,701679.0,867492.0,770968.0,682307.0,509823.0,300383.0,469370.0,278745.0,332120.0,346888.0,410693.0,615550.0,745930.0,906671.0,811226.0,683690.0,491296.0,285360.0,446570.0,309608.0,314507.0,330412.0,463995.0,626473.0,784611.0,999649.0,885973.0,734205.0,548992.0
"Americas, countries other than the United States of America",63362.0,55995.0,31895.0,10019.0,7187.0,8012.0,7323.0,7237.0,4463.0,3599.0,4316.0,6434.0,7637.0,5606.0,8706.0,12826.0,9313.0,9754.0,9842.0,11640.0,20237.0,23891.0,23619.0,46126.0,20054.0,24196.0,36112.0,58636.0,56410.0,80835.0,96836.0,81498.0,70778.0,58893.0,53155.0,88933.0,55245.0,57871.0,74654.0,92600.0,90704.0,116307.0,141603.0,137941.0,115783.0,79856.0,68002.0,125278.0,67502.0,73312.0,79114.0,71999.0,84859.0,109670.0,123899.0,115404.0,91587.0,68478.0,61664.0,97319.0,60640.0,57328.0,68389.0,88195.0,85126.0,116139.0,139696.0,128247.0,88343.0,73653.0
"North America, countries other than the United States of America",30836.0,27304.0,16864.0,5840.0,3223.0,4029.0,4138.0,3496.0,1990.0,1443.0,1397.0,2035.0,4013.0,2710.0,5117.0,7566.0,4138.0,4045.0,3459.0,4139.0,8106.0,11288.0,12522.0,22485.0,11367.0,13876.0,21364.0,32025.0,28502.0,38753.0,48103.0,40951.0,37310.0,30811.0,28054.0,49637.0,32031.0,34056.0,42446.0,56789.0,49022.0,56882.0,69296.0,74056.0,47360.0,38637.0,33572.0,69804.0,39925.0,44813.0,36592.0,33200.0,33415.0,38466.0,46734.0,47172.0,31326.0,24055.0,22799.0,41743.0,28798.0,27247.0,29990.0,41905.0,31407.0,37453.0,50484.0,52790.0,30593.0,25301.0
Central America,2439.0,2212.0,1210.0,1338.0,2130.0,1931.0,563.0,705.0,409.0,358.0,503.0,479.0,548.0,709.0,1073.0,1832.0,1908.0,1987.0,1307.0,1145.0,1477.0,1516.0,1171.0,1723.0,1048.0,1358.0,2014.0,3979.0,3217.0,4187.0,3857.0,3063.0,2861.0,2189.0,1955.0,2965.0,2503.0,2343.0,3226.0,5116.0,4851.0,6796.0,6769.0,5102.0,5636.0,4104.0,3412.0,5280.0,3524.0,3215.0,4486.0,6573.0,6923.0,8818.0,6929.0,5885.0,6086.0,4837.0,3544.0,5702.0,4646.0,3415.0,4301.0,8122.0,7449.0,10115.0,9532.0,7598.0,6949.0,5808.0
Caribbean,10846.0,9746.0,5845.0,2704.0,1693.0,1672.0,2200.0,2452.0,1211.0,831.0,1111.0,1656.0,1659.0,691.0,1993.0,2834.0,2032.0,2223.0,3071.0,3654.0,4742.0,5170.0,4674.0,9605.0,2905.0,3232.0,5974.0,11338.0,8542.0,13731.0,18565.0,17023.0,12000.0,10356.0,8182.0,16449.0,8378.0,9554.0,11203.0,15742.0,14952.0,20841.0,28585.0,29411.0,18966.0,15218.0,11831.0,23669.0,10537.0,11583.0,15009.0,15679.0,17936.0,24360.0,30534.0,30590.0,19803.0,17125.0,11545.0,21765.0,10899.0,11201.0,12991.0,18841.0,18533.0,27621.0,37038.0,34859.0,20066.0,17938.0
South America,19241.0,16733.0,7976.0,137.0,141.0,380.0,422.0,584.0,853.0,967.0,1305.0,2264.0,1417.0,1496.0,523.0,594.0,1235.0,1499.0,2005.0,2702.0,5912.0,5917.0,5252.0,12313.0,4734.0,5730.0,6760.0,11294.0,16149.0,24164.0,26311.0,20461.0,18607.0,15537.0,14964.0,19882.0,12333.0,11918.0,17779.0,14953.0,21879.0,31788.0,36953.0,29372.0,43821.0,21897.0,19187.0,26525.0,13516.0,13701.0,23027.0,16547.0,26585.0,38026.0,39702.0,31757.0,34372.0,22461.0,23776.0,28109.0,16297.0,15465.0,21107.0,19327.0,27737.0,40950.0,42642.0,33000.0,30735.0,24606.0
"Americas, n.o.s. 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,118756.0,144883.0,65199.0,2482.0,2895.0,5090.0,9995.0,12235.0,10592.0,8955.0,9976.0,15722.0,10818.0,5666.0,5580.0,5573.0,7146.0,10132.0,27991.0,42466.0,89601.0,94315.0,58585.0,107938.0,33399.0,51644.0,68762.0,122791.0,164022.0,244653.0,371232.0,344853.0,270625.0,195815.0,98796.0,149573.0,87411.0,116857.0,115955.0,161189.0,219146.0,304422.0,427212.0,408310.0,326475.0,230112.0,110266.0,179063.0,93447.0,129546.0,136201.0,179226.0,249982.0,305660.0,442463.0,434589.0,344615.0,230060.0,110862.0,186781.0,104036.0,133331.0,121861.0,203021.0,252457.0,322402.0,488019.0,468906.0,364501.0,254266.0
