Month,canada_consumer_confidence_points,usa_consumer_confidence_points
Jul-23,49.5,71.6
Aug-23,46.9,69.5
Sep-23,47.7,68.1
Oct-23,45.6,63.8
Nov-23,47.3,61.3
Dec-23,46.6,69.7
Jan-24,49.5,79.0
Feb-24,47.4,76.9
Mar-24,47.9,79.4
Apr-24,48.0,77.2
May-24,47.2,69.1
Jun-24,47.1,68.2
Jul-24,47.0,66.4
Aug-24,50.1,67.9
Sep-24,49.5,70.1
Oct-24,49.1,70.5
Nov-24,48.6,71.8
Dec-24,47.9,74.0
Jan-25,48.6,71.1
Feb-25,48.8,64.7
Mar-25,48.2,57.0
Apr-25,45.4,52.2
May-25,48.1,52.2
Jun-25,48.8,60.7
Jul-25,48.1,61.7
Aug-25,47.7,58.2
Sep-25,47.8,55.1
Oct-25,46.0,53.6
Nov-25,47.4,51.0
Dec-25,,52.9
