Month,Number of arrivals
2020-12-01 00:00:00,69467
2021-01-01 00:00:00,53044
2021-02-01 00:00:00,47285
2021-03-01 00:00:00,64525
2021-04-01 00:00:00,63948
2021-05-01 00:00:00,78573
2021-06-01 00:00:00,90840
2021-07-01 00:00:00,128088
2021-08-01 00:00:00,378643
2021-09-01 00:00:00,353999
2021-10-01 00:00:00,314866
2021-11-01 00:00:00,269644
2021-12-01 00:00:00,320494
2022-01-01 00:00:00,126436
2022-02-01 00:00:00,190322
2022-03-01 00:00:00,266840
2022-04-01 00:00:00,479780
2022-05-01 00:00:00,619915
2022-06-01 00:00:00,906928
2022-07-01 00:00:00,1247681
2022-08-01 00:00:00,1115569
2022-09-01 00:00:00,826065
2022-10-01 00:00:00,839299
2022-11-01 00:00:00,663251
2022-12-01 00:00:00,786115
2023-01-01 00:00:00,566092
2023-02-01 00:00:00,619754
2023-03-01 00:00:00,694614
2023-04-01 00:00:00,835206
2023-05-01 00:00:00,1017678
2023-06-01 00:00:00,1452909
2023-07-01 00:00:00,1833920
2023-08-01 00:00:00,1661780
2023-09-01 00:00:00,1197154
2023-10-01 00:00:00,943956
2023-11-01 00:00:00,783847
2023-12-01 00:00:00,998064
2024-01-01 00:00:00,573827
2024-02-01 00:00:00,735782
2024-03-01 00:00:00,862488
2024-04-01 00:00:00,919296
2024-05-01 00:00:00,1141938
2024-06-01 00:00:00,1579093
2024-07-01 00:00:00,1935179
2024-08-01 00:00:00,1875191
2024-09-01 00:00:00,1123664
2024-10-01 00:00:00,1040877
2024-11-01 00:00:00,951332
2024-12-01 00:00:00,1078917
2025-01-01 00:00:00,707599
2025-02-01 00:00:00,677757
2025-03-01 00:00:00,771006
2025-04-01 00:00:00,821105
2025-05-01 00:00:00,1045783
2025-06-01 00:00:00,1414745
2025-07-01 00:00:00,1791104
2025-08-01 00:00:00,1790278
2025-09-01 00:00:00,1064337
2025-10-01 00:00:00,1033741
2025-11-01 00:00:00,841971
