Month,Number of arrivals
2020-12-01 00:00:00,1366
2021-01-01 00:00:00,1251
2021-02-01 00:00:00,1045
2021-03-01 00:00:00,1283
2021-04-01 00:00:00,1308
2021-05-01 00:00:00,1649
2021-06-01 00:00:00,1970
2021-07-01 00:00:00,2660
2021-08-01 00:00:00,8333
2021-09-01 00:00:00,8239
2021-10-01 00:00:00,7375
2021-11-01 00:00:00,4452
2021-12-01 00:00:00,6149
2022-01-01 00:00:00,2907
2022-02-01 00:00:00,2825
2022-03-01 00:00:00,5026
2022-04-01 00:00:00,5424
2022-05-01 00:00:00,11325
2022-06-01 00:00:00,18256
2022-07-01 00:00:00,21923
2022-08-01 00:00:00,16739
2022-09-01 00:00:00,14800
2022-10-01 00:00:00,17829
2022-11-01 00:00:00,10824
2022-12-01 00:00:00,13678
2023-01-01 00:00:00,12472
2023-02-01 00:00:00,11547
2023-03-01 00:00:00,16436
2023-04-01 00:00:00,13277
2023-05-01 00:00:00,21050
2023-06-01 00:00:00,34315
2023-07-01 00:00:00,36442
2023-08-01 00:00:00,29055
2023-09-01 00:00:00,24333
2023-10-01 00:00:00,18640
2023-11-01 00:00:00,12342
2023-12-01 00:00:00,17019
2024-01-01 00:00:00,12656
2024-02-01 00:00:00,14720
2024-03-01 00:00:00,18384
2024-04-01 00:00:00,14171
2024-05-01 00:00:00,24126
2024-06-01 00:00:00,34265
2024-07-01 00:00:00,32174
2024-08-01 00:00:00,25279
2024-09-01 00:00:00,18697
2024-10-01 00:00:00,21626
2024-11-01 00:00:00,16765
2024-12-01 00:00:00,17577
2025-01-01 00:00:00,15106
2025-02-01 00:00:00,14825
2025-03-01 00:00:00,20500
2025-04-01 00:00:00,13591
2025-05-01 00:00:00,24762
2025-06-01 00:00:00,31687
2025-07-01 00:00:00,35623
2025-08-01 00:00:00,32288
2025-09-01 00:00:00,21547
2025-10-01 00:00:00,22599
2025-11-01 00:00:00,15525
