country,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Non-resident visitors entering Canada,19908.0,21982.0,14635.0,1531.0,2225.0,2601.0,2730.0,3433.0,3311.0,3253.0,2218.0,2657.0,2540.0,2040.0,2673.0,2553.0,3037.0,3110.0,3839.0,10505.0,11189.0,10632.0,6734.0,8760.0,5193.0,5530.0,8198.0,8134.0,15957.0,26546.0,29156.0,22187.0,19105.0,22370.0,14064.0,17604.0,17078.0,15158.0,21180.0,16826.0,26447.0,44738.0,48230.0,40144.0,32735.0,25491.0,17092.0,22974.0,17426.0,19652.0,23993.0,19248.0,32078.0,48618.0,47400.0,38349.0,28857.0,31101.0,23320.0,25525.0,22430.0,22168.0,27829.0,19246.0,32784.0,48267.0,53059.0,47506.0,31340.0,32564.0
United States of America residents entering Canada,18743.0,20845.0,13790.0,1253.0,1938.0,2216.0,2359.0,3094.0,3033.0,2870.0,1893.0,2273.0,2186.0,1677.0,2165.0,2015.0,2435.0,2901.0,3739.0,10229.0,11031.0,10438.0,6527.0,8502.0,5075.0,5361.0,7993.0,7831.0,15560.0,25761.0,28289.0,21392.0,18520.0,21776.0,13562.0,16802.0,16468.0,14575.0,20386.0,15970.0,25604.0,43527.0,46214.0,37961.0,31264.0,24346.0,16102.0,21231.0,16173.0,18371.0,22357.0,17617.0,30648.0,46793.0,45067.0,36356.0,27165.0,29421.0,21861.0,23615.0,20832.0,20675.0,26241.0,17643.0,31077.0,46209.0,50529.0,44441.0,29851.0,31168.0
Residents of countries other than the United States of America entering Canada,1165.0,1137.0,845.0,278.0,287.0,385.0,371.0,339.0,278.0,383.0,325.0,384.0,354.0,363.0,508.0,538.0,602.0,209.0,100.0,276.0,158.0,194.0,207.0,258.0,118.0,169.0,205.0,303.0,397.0,785.0,867.0,795.0,585.0,594.0,502.0,802.0,610.0,583.0,794.0,856.0,843.0,1211.0,2016.0,2183.0,1471.0,1145.0,990.0,1743.0,1253.0,1281.0,1636.0,1631.0,1430.0,1825.0,2333.0,1993.0,1692.0,1680.0,1459.0,1910.0,1598.0,1493.0,1588.0,1603.0,1707.0,2058.0,2530.0,3065.0,1489.0,1396.0
"Americas, countries other than the United States of America",385.0,389.0,367.0,223.0,216.0,182.0,197.0,165.0,182.0,201.0,168.0,343.0,265.0,363.0,135.0,516.0,128.0,48.0,14.0,8.0,86.0,84.0,65.0,111.0,60.0,49.0,68.0,107.0,62.0,154.0,188.0,152.0,91.0,186.0,245.0,400.0,408.0,343.0,343.0,447.0,122.0,177.0,606.0,360.0,262.0,248.0,590.0,1189.0,1001.0,1007.0,1063.0,996.0,469.0,621.0,744.0,519.0,560.0,536.0,844.0,1201.0,1025.0,971.0,1093.0,951.0,548.0,903.0,1059.0,1000.0,499.0,464.0
"North America, countries other than the United States of America",164.0,209.0,165.0,153.0,17.0,66.0,59.0,29.0,52.0,26.0,50.0,22.0,30.0,0.0,16.0,516.0,38.0,22.0,9.0,0.0,32.0,6.0,21.0,87.0,45.0,35.0,39.0,54.0,21.0,80.0,59.0,61.0,31.0,125.0,212.0,289.0,329.0,307.0,283.0,303.0,51.0,71.0,98.0,99.0,51.0,108.0,478.0,857.0,794.0,810.0,779.0,819.0,175.0,239.0,230.0,143.0,261.0,257.0,678.0,839.0,793.0,732.0,821.0,658.0,296.0,416.0,544.0,257.0,143.0,135.0
Central America,10.0,10.0,36.0,64.0,187.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,31.0,8.0,2.0,0.0,0.0,10.0,0.0,0.0,10.0,2.0,3.0,11.0,7.0,6.0,2.0,1.0,0.0,9.0,1.0,1.0,4.0,0.0,8.0,7.0,2.0,11.0,0.0,38.0,15.0,15.0,6.0,20.0,4.0,4.0,17.0,22.0,95.0,77.0,128.0,73.0,87.0,63.0,35.0,37.0,17.0,29.0,42.0,64.0,39.0,49.0,84.0,374.0,135.0,79.0
Caribbean,56.0,44.0,42.0,2.0,2.0,72.0,55.0,0.0,0.0,32.0,0.0,17.0,15.0,0.0,4.0,0.0,12.0,5.0,0.0,0.0,18.0,32.0,0.0,7.0,0.0,2.0,1.0,10.0,10.0,32.0,63.0,29.0,41.0,9.0,5.0,61.0,46.0,26.0,27.0,106.0,20.0,22.0,45.0,46.0,29.0,30.0,33.0,133.0,145.0,142.0,187.0,44.0,38.0,20.0,55.0,88.0,12.0,25.0,51.0,183.0,143.0,163.0,176.0,142.0,19.0,44.0,38.0,52.0,22.0,35.0
South America,155.0,126.0,124.0,4.0,10.0,0.0,83.0,136.0,130.0,143.0,118.0,304.0,220.0,363.0,31.0,0.0,47.0,13.0,3.0,8.0,36.0,36.0,44.0,17.0,5.0,10.0,25.0,32.0,24.0,36.0,64.0,61.0,19.0,43.0,27.0,49.0,29.0,10.0,25.0,31.0,49.0,73.0,463.0,177.0,167.0,95.0,73.0,179.0,58.0,51.0,80.0,111.0,161.0,285.0,331.0,215.0,200.0,191.0,80.0,142.0,72.0,47.0,54.0,87.0,194.0,394.0,393.0,317.0,199.0,215.0
"Americas, n.o.s. 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,302.0,380.0,274.0,48.0,64.0,13.0,20.0,91.0,44.0,1.0,116.0,8.0,1.0,0.0,279.0,22.0,364.0,102.0,61.0,31.0,45.0,109.0,74.0,92.0,25.0,32.0,79.0,124.0,215.0,437.0,544.0,461.0,371.0,257.0,118.0,231.0,93.0,117.0,208.0,178.0,230.0,235.0,566.0,825.0,439.0,367.0,131.0,261.0,93.0,85.0,320.0,239.0,467.0,337.0,569.0,656.0,402.0,434.0,216.0,305.0,280.0,200.0,225.0,274.0,511.0,545.0,771.0,1122.0,498.0,444.0
