Month,Country group,Number of arrivals
2020-12-01 00:00:00,Canada,519
2020-12-01 00:00:00,United States of America,271
2020-12-01 00:00:00,Overseas,14
2021-01-01 00:00:00,Canada,559
2021-01-01 00:00:00,United States of America,197
2021-01-01 00:00:00,Overseas,12
2021-02-01 00:00:00,Canada,63
2021-02-01 00:00:00,United States of America,11
2021-02-01 00:00:00,Overseas,0
2021-03-01 00:00:00,Canada,0
2021-03-01 00:00:00,United States of America,0
2021-03-01 00:00:00,Overseas,0
2021-04-01 00:00:00,Canada,5
2021-04-01 00:00:00,United States of America,0
2021-04-01 00:00:00,Overseas,110
2021-05-01 00:00:00,Canada,0
2021-05-01 00:00:00,United States of America,0
2021-05-01 00:00:00,Overseas,0
2021-06-01 00:00:00,Canada,0
2021-06-01 00:00:00,United States of America,0
2021-06-01 00:00:00,Overseas,0
2021-07-01 00:00:00,Canada,0
2021-07-01 00:00:00,United States of America,39
2021-07-01 00:00:00,Overseas,0
2021-08-01 00:00:00,Canada,2
2021-08-01 00:00:00,United States of America,0
2021-08-01 00:00:00,Overseas,117
2021-09-01 00:00:00,Canada,577
2021-09-01 00:00:00,United States of America,558
2021-09-01 00:00:00,Overseas,32
2021-10-01 00:00:00,Canada,931
2021-10-01 00:00:00,United States of America,1136
2021-10-01 00:00:00,Overseas,19
2021-11-01 00:00:00,Canada,1761
2021-11-01 00:00:00,United States of America,911
2021-11-01 00:00:00,Overseas,48
2021-12-01 00:00:00,Canada,4353
2021-12-01 00:00:00,United States of America,1156
2021-12-01 00:00:00,Overseas,132
2022-01-01 00:00:00,Canada,6080
2022-01-01 00:00:00,United States of America,663
2022-01-01 00:00:00,Overseas,62
2022-02-01 00:00:00,Canada,7149
2022-02-01 00:00:00,United States of America,1162
2022-02-01 00:00:00,Overseas,142
2022-03-01 00:00:00,Canada,11234
2022-03-01 00:00:00,United States of America,1501
2022-03-01 00:00:00,Overseas,106
2022-04-01 00:00:00,Canada,8939
2022-04-01 00:00:00,United States of America,1299
2022-04-01 00:00:00,Overseas,148
2022-05-01 00:00:00,Canada,4355
