"Non-resident visitors entering Canada, by country of residence 1"
"Frequency: Monthly"
"Table: 24-10-0050-01"
"Release date: 2025-12-22"
"Geography: Canada, Province or territory"
""
""

"Geography","Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country of residence 2","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025"
,"Visitors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-resident visitors entering Canada","19,908","21,982","14,635","1,531","2,225","2,601","2,730","3,433","3,311","3,253","2,218","2,657","2,540","2,040","2,673","2,553","3,037","3,110","3,839","10,505","11,189","10,632","6,734","8,760","5,193","5,530","8,198","8,134","15,957","26,546","29,156","22,187","19,105","22,370","14,064","17,604","17,078","15,158","21,180","16,826","26,447","44,738","48,230","40,144","32,735","25,491","17,092","22,974","17,426","19,652","23,993","19,248","32,078","48,618","47,400","38,349","28,857","31,101","23,320","25,525","22,430","22,168","27,829","19,246","32,784","48,267","53,059","47,506","31,340","32,564"
"United States of America residents entering Canada","18,743","20,845","13,790","1,253","1,938","2,216","2,359","3,094","3,033","2,870","1,893","2,273","2,186","1,677","2,165","2,015","2,435","2,901","3,739","10,229","11,031","10,438","6,527","8,502","5,075","5,361","7,993","7,831","15,560","25,761","28,289","21,392","18,520","21,776","13,562","16,802","16,468","14,575","20,386","15,970","25,604","43,527","46,214","37,961","31,264","24,346","16,102","21,231","16,173","18,371","22,357","17,617","30,648","46,793","45,067","36,356","27,165","29,421","21,861","23,615","20,832","20,675","26,241","17,643","31,077","46,209","50,529","44,441","29,851","31,168"
"Residents of countries other than the United States of America entering Canada","1,165","1,137","845","278","287","385","371","339","278","383","325","384","354","363","508","538","602","209","100","276","158","194","207","258","118","169","205","303","397","785","867","795","585","594","502","802","610","583","794","856","843","1,211","2,016","2,183","1,471","1,145","990","1,743","1,253","1,281","1,636","1,631","1,430","1,825","2,333","1,993","1,692","1,680","1,459","1,910","1,598","1,493","1,588","1,603","1,707","2,058","2,530","3,065","1,489","1,396"
"Americas, countries other than the United States of America","385","389","367","223","216","182","197","165","182","201","168","343","265","363","135","516","128","48","14","8","86","84","65","111","60","49","68","107","62","154","188","152","91","186","245","400","408","343","343","447","122","177","606","360","262","248","590","1,189","1,001","1,007","1,063","996","469","621","744","519","560","536","844","1,201","1,025","971","1,093","951","548","903","1,059","1,000","499","464"
"North America, countries other than the United States of America","164","209","165","153","17","66","59","29","52","26","50","22","30","0","16","516","38","22","9","0","32","6","21","87","45","35","39","54","21","80","59","61","31","125","212","289","329","307","283","303","51","71","98","99","51","108","478","857","794","810","779","819","175","239","230","143","261","257","678","839","793","732","821","658","296","416","544","257","143","135"
"Central America","10","10","36","64","187","44","0","0","0","0","0","0","0","0","84","0","31","8","2","0","0","10","0","0","10","2","3","11","7","6","2","1","0","9","1","1","4","0","8","7","2","11","0","38","15","15","6","20","4","4","17","22","95","77","128","73","87","63","35","37","17","29","42","64","39","49","84","374","135","79"
"Caribbean","56","44","42","2","2","72","55","0","0","32","0","17","15","0","4","0","12","5","0","0","18","32","0","7","0","2","1","10","10","32","63","29","41","9","5","61","46","26","27","106","20","22","45","46","29","30","33","133","145","142","187","44","38","20","55","88","12","25","51","183","143","163","176","142","19","44","38","52","22","35"
"South America","155","126","124","4","10","0","83","136","130","143","118","304","220","363","31","0","47","13","3","8","36","36","44","17","5","10","25","32","24","36","64","61","19","43","27","49","29","10","25","31","49","73","463","177","167","95","73","179","58","51","80","111","161","285","331","215","200","191","80","142","72","47","54","87","194","394","393","317","199","215"
"Americas, n.o.s. 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
